UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType
1.0,56.0,Male,,82812.0,1.0,True,Engineer,Rural,Instagram,80.0,17.0,4229.0,Pranks,24.0,7867.0,5.0,26.0,22.0,87.0,,3.0,7.0,Procrastination,Smartphone,Android,9:00 PM,5.0,5.0,Commuting,Mobile Data
,46.0,Female,Mexico,invalid,0.0,invalid,Artist,Urban,Instagram,228.0,14.0,2131.0,Pranks,19.0,5944.0,6.0,25.0,31.0,46.0,,5.0,5.0,Habit,Computer,Android,5:00 PM,7.0,3.0,At school,Wi-Fi
3.0,,Female,United States,42436.0,0.0,True,Engineer,Rural,Facebook,30.0,6.0,4367.0,Vlogs,19.0,8674.0,3.0,9.0,7.0,88.0,,6.0,4.0,Entertainment,Tablet,Android,,8.0,,At home,Mobile Data
4.0,60.0,Male,Barzil,62963.0,1.0,False,Waiting staff,Rural,YouTube,101.0,19.0,1507.0,Vlogs,,2477.0,2.0,6.0,41.0,93.0,,3.0,7.0,Habit,Smartphone,Android,,5.0,5.0,Commuting,Mobile Data
5.0,25.0,Male,,,0.0,True,Manager,Urban,TikTok,136.0,6.0,2159.0,invalid,19.0,3093.0,7.0,13.0,21.0,4.0,,8.0,2.0,Boredom,Smartphone,iOS,8:00 AM,10.0,0.0,At home,Mobile Data
,38.0,invalid,Vietnam,45279.0,0.0,False,,Urban,Instagram,89.0,18.0,2917.0,Jokes/Memes,9.0,8534.0,5.0,,16.0,38.0,,3.0,7.0,Entertainment,Computer,Android,9:00 PM,5.0,5.0,At home,Wi-Fi
,,Male,India,46201.0,0.0,False,Students,Rural,invalid,247.0,5.0,3230.0,Vlogs,16.0,7207.0,9.0,22.0,20.0,63.0,,8.0,2.0,Habit,,Android,8:00 AM,10.0,0.0,At school,Wi-Fi
8.0,36.0,Male,Barzil,39715.0,0.0,False,Engineer,Rural,Instagram,191.0,6.0,9859.0,Entertainment,27.0,9654.0,3.0,28.0,43.0,29.0,,3.0,7.0,,Tablet,Android,9:00 PM,5.0,5.0,At home,Mobile Data
9.0,40.0,Male,United States,49309.0,0.0,False,Waiting staff,,Instagram,34.0,2.0,6266.0,Vlogs,4.0,9394.0,8.0,20.0,44.0,19.0,,3.0,7.0,Entertainment,Computer,Android,9:00 PM,5.0,5.0,At home,Mobile Data
10.0,28.0,Other,United States,35078.0,0.0,False,Students,Rural,YouTube,165.0,8.0,4137.0,ASMR,6.0,9813.0,6.0,4.0,47.0,91.0,,6.0,4.0,Boredom,Smartphone,iOS,2:00 PM,8.0,,At home,Mobile Data
11.0,28.0,Male,Indonesia,76614.0,1.0,True,Manager,Rural,Instagram,14.0,15.0,2690.0,Pranks,8.0,,4.0,2.0,19.0,29.0,,5.0,5.0,Boredom,Smartphone,Android,5:00 PM,7.0,3.0,At home,Mobile Data
12.0,41.0,Other,Philippines,25105.0,,False,Labor/Worker,Urban,TikTok,129.0,15.0,7191.0,Life Hacks,27.0,3535.0,9.0,26.0,48.0,35.0,,6.0,4.0,Habit,Tablet,Android,2:00 PM,8.0,,At home,Wi-Fi
13.0,53.0,Male,Japan,22839.0,0.0,False,Waiting staff,Rural,Instagram,286.0,11.0,2811.0,Gaming,29.0,7004.0,5.0,4.0,32.0,70.0,,5.0,5.0,Habit,Smartphone,Android,5:00 PM,7.0,3.0,At school,Mobile Data
14.0,57.0,Male,Indonesia,88920.0,1.0,True,Waiting staff,Rural,Facebook,27.0,1.0,6153.0,Vlogs,24.0,2913.0,6.0,8.0,15.0,23.0,,6.0,4.0,,Tablet,Android,2:00 PM,8.0,2.0,Commuting,Wi-Fi
15.0,41.0,Other,Vietnam,63619.0,1.0,True,Cashier,Rural,YouTube,207.0,18.0,13.0,Gaming,16.0,9381.0,9.0,13.0,5.0,46.0,,6.0,4.0,Boredom,Tablet,iOS,2:00 PM,8.0,2.0,At school,Wi-Fi
16.0,20.0,Female,Philippines,62821.0,1.0,True,Students,Rural,YouTube,66.0,12.0,5939.0,Entertainment,5.0,2340.0,7.0,10.0,,44.0,,6.0,4.0,Entertainment,Smartphone,MacOS,2:00 PM,8.0,2.0,,Mobile Data
17.0,39.0,Female,Mexico,33493.0,0.0,False,Waiting staff,,Facebook,102.0,12.0,8000.0,ASMR,21.0,9795.0,5.0,18.0,15.0,48.0,,5.0,5.0,Habit,Smartphone,iOS,5:00 PM,7.0,3.0,At home,Wi-Fi
18.0,19.0,,Barzil,37069.0,0.0,False,Students,Rural,Facebook,28.0,invalid,7220.0,ASMR,,5289.0,2.0,9.0,29.0,52.0,,6.0,4.0,Habit,Smartphone,Windows,2:00 PM,invalid,2.0,At home,Mobile Data
19.0,41.0,Other,Japan,27531.0,0.0,False,Labor/Worker,Rural,Facebook,202.0,8.0,5329.0,Pranks,10.0,,4.0,1.0,45.0,8.0,,6.0,4.0,Entertainment,,iOS,2:00 PM,8.0,2.0,At work,Mobile Data
20.0,61.0,Male,United States,57051.0,1.0,True,Labor/Worker,Urban,Instagram,246.0,7.0,3622.0,Vlogs,23.0,8836.0,2.0,13.0,,,,8.0,2.0,Habit,Smartphone,MacOS,8:00 AM,10.0,0.0,At work,Mobile Data
21.0,47.0,Male,India,27736.0,,False,Waiting staff,Rural,YouTube,286.0,2.0,3684.0,Vlogs,13.0,7145.0,3.0,18.0,49.0,66.0,,5.0,5.0,Habit,Tablet,iOS,5:00 PM,7.0,3.0,,Mobile Data
22.0,55.0,Male,invalid,27710.0,0.0,False,driver,Rural,Facebook,236.0,11.0,7873.0,Entertainment,29.0,2902.0,3.0,15.0,,77.0,,5.0,5.0,Boredom,Computer,Android,5:00 PM,7.0,3.0,Commuting,Mobile Data
23.0,19.0,Female,Indonesia,87155.0,1.0,False,Students,Rural,Instagram,242.0,10.0,5311.0,,26.0,6645.0,4.0,2.0,48.0,40.0,,3.0,7.0,Boredom,Smartphone,Android,9:00 PM,5.0,5.0,At work,Mobile Data
24.0,38.0,Female,,33975.0,0.0,False,Waiting staff,Urban,Facebook,49.0,3.0,653.0,Pranks,14.0,8955.0,6.0,11.0,23.0,85.0,,6.0,4.0,,Smartphone,iOS,2:00 PM,8.0,2.0,At home,Mobile Data
25.0,50.0,Male,Germany,82424.0,,True,Waiting staff,Rural,TikTok,162.0,10.0,5800.0,Jokes/Memes,7.0,7694.0,3.0,29.0,15.0,invalid,,6.0,4.0,Boredom,Smartphone,Android,2:00 PM,8.0,2.0,At home,Mobile Data
26.0,29.0,Male,Japan,65603.0,1.0,False,Labor/Worker,Urban,TikTok,136.0,18.0,8813.0,Jokes/Memes,29.0,4830.0,1.0,14.0,46.0,48.0,,5.0,5.0,Entertainment,Smartphone,Android,5:00 PM,7.0,3.0,At school,Wi-Fi
,39.0,Male,Japan,43252.0,0.0,True,Students,invalid,YouTube,246.0,14.0,3791.0,,20.0,7546.0,1.0,22.0,44.0,61.0,,6.0,4.0,Habit,Smartphone,Android,2:00 PM,8.0,2.0,Commuting,Mobile Data
28.0,61.0,Other,Vietnam,21431.0,0.0,False,Manager,Urban,,64.0,invalid,1646.0,Life Hacks,6.0,7368.0,9.0,15.0,3.0,52.0,,3.0,7.0,Habit,Smartphone,,9:00 PM,5.0,5.0,At home,Wi-Fi
29.0,42.0,Female,India,94603.0,1.0,True,Labor/Worker,Rural,TikTok,181.0,8.0,4513.0,Entertainment,7.0,9834.0,9.0,14.0,32.0,38.0,,6.0,,Boredom,Smartphone,MacOS,2:00 PM,8.0,2.0,,Mobile Data
30.0,,Male,India,57481.0,1.0,False,driver,Urban,TikTok,118.0,10.0,4760.0,Pranks,5.0,2160.0,5.0,,,91.0,,6.0,4.0,,Smartphone,Android,2:00 PM,8.0,2.0,At home,Wi-Fi
31.0,59.0,Male,United States,29557.0,0.0,True,,Rural,Instagram,193.0,13.0,5875.0,Pranks,21.0,5878.0,9.0,23.0,40.0,36.0,,8.0,2.0,Habit,Smartphone,iOS,8:00 AM,10.0,0.0,At school,Wi-Fi
32.0,invalid,invalid,United States,94971.0,1.0,False,Students,Rural,,207.0,8.0,3689.0,Jokes/Memes,18.0,7663.0,7.0,29.0,38.0,87.0,,5.0,5.0,Habit,Smartphone,Android,5:00 PM,7.0,3.0,At home,Mobile Data
33.0,33.0,Male,India,20162.0,,True,Labor/Worker,Rural,Instagram,96.0,4.0,7690.0,Trends,23.0,3749.0,9.0,15.0,22.0,55.0,,3.0,7.0,Boredom,Tablet,iOS,9:00 PM,5.0,5.0,Commuting,Mobile Data
34.0,32.0,Other,Mexico,54742.0,1.0,False,Waiting staff,Rural,Facebook,210.0,4.0,1380.0,Trends,12.0,2922.0,7.0,19.0,14.0,85.0,,6.0,4.0,Entertainment,Smartphone,,2:00 PM,8.0,2.0,At work,Mobile Data
